2023-06-20 09:40:32.673392|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2023-06-20 09:40:32.674401|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (22621) x64 (AMD or Intel) Binary: 64bit
2023-06-20 09:40:32.674401|INFO    |ServerLibPriv |   |Using hardware aes
2023-06-20 09:40:32.675404|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2023-06-20 09:40:32.675404|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2023-06-20 09:40:32.676406|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2023-06-20 09:40:32.740200|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2023-06-20 09:40:32.741199|INFO    |Accounting    |   |Licensing Information
2023-06-20 09:40:32.741199|INFO    |Accounting    |   |licensed to       : Anonymous
2023-06-20 09:40:32.741199|INFO    |Accounting    |   |type              : No License
2023-06-20 09:40:32.741199|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2023-06-20 09:40:32.741199|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2023-06-20 09:40:32.741199|INFO    |Accounting    |   |max virtualservers: 1
2023-06-20 09:40:32.741199|INFO    |Accounting    |   |max slots         : 32
2023-06-20 09:40:33.308002|ERROR   |Accounting    |   |local accounting reports an already running instance, instance will shutdown
2023-06-20 09:40:34.193129|INFO    |              |   |Puzzle precompute time: 1430
2023-06-20 09:40:34.195129|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2023-06-20 09:40:34.204657|INFO    |Query         |   |Using a query thread pool size of 2
2023-06-20 09:40:34.284349|ERROR   |VirtualSvrMgr |   |loading VirtualServer(1) failed to start, error: port already in use
2023-06-20 09:40:34.286348|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2023-06-20 09:40:34.287350|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2023-06-20 09:40:34.287350|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2023-06-20 09:40:34.288348|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
